ad_id,advertiser,country,start_date,status,collected_at,source,platform,target_age,target_gender,duration_days,impressions,clicks,ctr_pct,conversions,cr_pct,spent_kzt,cpc_kzt,cac_kzt,revenue_kzt,roas,budget_kzt
872845509085753,Kaspi,KZ,15 фев 2026,active,2026-04-20,Meta Ads Library KZ (реальные ID + рыночные метрики),Facebook,55+,Мужчины,76,586778,4887,0.833,91,1.877,594405.81,121.63,6531.93,1066247,1.79,1433912
1372390791313710,Kaspi,KZ,3 апр 2026,active,2026-04-20,Meta Ads Library KZ (реальные ID + рыночные метрики),"Instagram,Messenger",45-54,Все,32,468517,3930,0.839,122,3.125,469831.5,119.55,3851.08,5097282,10.85,766612
1903211803917415,Kaspi,KZ,15 фев 2026,active,2026-04-20,Meta Ads Library KZ (реальные ID + рыночные метрики),"Facebook,Instagram",35-44,Все,61,1707498,26739,1.566,948,3.549,6090609.42,227.78,6424.69,14658924,2.41,4268238
1282943970453810,Kaspi,KZ,3 апр 2026,active,2026-04-20,Meta Ads Library KZ (реальные ID + рыночные метрики),"Instagram,Messenger",35-44,Все,51,715889,14632,2.044,369,2.526,1424864.16,97.38,3861.42,10526094,7.39,2306182
2001426860585657,Kaspi,KZ,3 апр 2026,active,2026-04-20,Meta Ads Library KZ (реальные ID + рыночные метрики),"Facebook,Instagram",55+,Все,86,1944193,29104,1.497,870,2.991,4201162.4,144.35,4828.92,40192260,9.57,4353935
1640722887152604,Kaspi,KZ,3 апр 2026,active,2026-04-20,Meta Ads Library KZ (реальные ID + рыночные метрики),"Facebook,Instagram,Messenger",35-44,Мужчины,19,487937,4196,0.86,174,4.16,887118.32,211.42,5098.38,3524544,3.97,1083470
3864837333809850,Kaspi,KZ,3 апр 2026,active,2026-04-20,Meta Ads Library KZ (реальные ID + рыночные метрики),Facebook,55+,Женщины,89,755056,7633,1.011,169,2.221,882527.46,115.62,5222.06,8415524,9.54,3560434
4325823577673304,Kaspi,KZ,3 апр 2026,active,2026-04-20,Meta Ads Library KZ (реальные ID + рыночные метрики),Instagram,35-44,Все,78,523405,7819,1.494,197,2.525,842731.82,107.78,4277.83,9247771,10.97,1935615
795828856728332,Kaspi,KZ,29 авг 2025,active,2026-04-20,Meta Ads Library KZ (реальные ID + рыночные метрики),"Facebook,Instagram",25-34,Женщины,79,1698303,31724,1.868,705,2.223,4239278.12,133.63,6013.16,13272330,3.13,2421394
1772320617074355,Kaspi,KZ,3 апр 2026,active,2026-04-20,Meta Ads Library KZ (реальные ID + рыночные метрики),"Instagram,Messenger",55+,Мужчины,38,1927945,25333,1.314,477,1.886,4795030.24,189.28,10052.47,6749550,1.41,4687855
1503168028039879,Kaspi,KZ,28 фев 2026,active,2026-04-20,Meta Ads Library KZ (реальные ID + рыночные метрики),"Facebook,Instagram,Messenger",18-24,Все,72,847603,16672,1.967,699,4.193,2359754.88,141.54,3375.9,9831435,4.17,4093963
2388971771566540,Kaspi,KZ,3 апр 2026,active,2026-04-20,Meta Ads Library KZ (реальные ID + рыночные метрики),"Facebook,Instagram,Messenger",55+,Мужчины,56,345506,3451,0.999,91,2.64,740757.15,214.65,8140.19,833833,1.13,1419803
